# Crystal Eye Ground Track  |  i=5  |  h=550 km
# Inizio missione: 2031-01-01 00:00:00 UTC
# Passo temporale: 8 s  |  Durata: 95.65 min (1 orbita)
#
# Colonne:
#   UTC_datetime       : timestamp ISO 8601
#   X_ECI_km           : posizione ECI asse X (km)
#   Y_ECI_km           : posizione ECI asse Y (km)
#   Z_ECI_km           : posizione ECI asse Z (km)
#   X_ECEF_km          : posizione ECEF asse X (km)
#   Y_ECEF_km          : posizione ECEF asse Y (km)
#   Z_ECEF_km          : posizione ECEF asse Z (km)
#   lat_deg            : latitudine geocentrica (gradi)
#   lon_deg            : longitudine (gradi)
#   alt_km             : altitudine sul geoide (km)
#
UTC_datetime              X_ECI_km      Y_ECI_km      Z_ECI_km     X_ECEF_km     Y_ECEF_km     Z_ECEF_km     lat_deg     lon_deg      alt_km
2031-01-01T00:18:08     -6406.1728     2577.7866      560.8351    -6181.7189     3077.3991      560.8351      4.6432    153.5348    550.0000
2031-01-01T00:18:16     -6428.3892     2521.4416      562.7734    -6206.5665     3026.6133      562.7734      4.6593    154.0040    550.0000
2031-01-01T00:18:24     -6450.1139     2464.9036      564.6685    -6231.0008     2975.6258      564.6685      4.6750    154.4731    550.0000
2031-01-01T00:18:32     -6471.3451     2408.1771      566.5202    -6255.0201     2924.4398      566.5202      4.6904    154.9423    550.0000
2031-01-01T00:18:40     -6492.0812     2351.2664      568.3286    -6278.6228     2873.0589      568.3286      4.7054    155.4115    550.0000
2031-01-01T00:18:48     -6512.3207     2294.1757      570.0933    -6301.8075     2821.4865      570.0933      4.7200    155.8807    550.0000
2031-01-01T00:18:56     -6532.0620     2236.9096      571.8143    -6324.5724     2769.7260      571.8143      4.7343    156.3499    550.0000
2031-01-01T00:19:04     -6551.3035     2179.4723      573.4914    -6346.9162     2717.7808      573.4914      4.7482    156.8192    550.0000
2031-01-01T00:19:12     -6570.0439     2121.8682      575.1245    -6368.8372     2665.6545      575.1245      4.7618    157.2884    550.0000
2031-01-01T00:19:20     -6588.2816     2064.1019      576.7135    -6390.3341     2613.3504      576.7135      4.7750    157.7577    550.0000
2031-01-01T00:19:28     -6606.0153     2006.1776      578.2583    -6411.4055     2560.8722      578.2583      4.7878    158.2270    550.0000
2031-01-01T00:19:36     -6623.2437     1948.0998      579.7587    -6432.0499     2508.2233      579.7587      4.8003    158.6964    550.0000
